ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
Cory Booker,10/10/2019 0:00,$0.01 ,$0.03 ,$0.01 ,$0.02 ,7028
Harris,10/10/2019 0:00,$0.05 ,$0.06 ,$0.05 ,$0.05 ,10219
Gillibrand,10/10/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,858
Joe Biden,10/10/2019 0:00,$0.21 ,$0.23 ,$0.21 ,$0.21 ,27816
Elizabeth Warren,10/10/2019 0:00,$0.48 ,$0.48 ,$0.46 ,$0.48 ,14618
Cuomo,10/10/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,100
Zuckerberg,10/10/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Kaine,10/10/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Amy Klobuchar,10/10/2019 0:00,$0.02 ,$0.02 ,$0.01 ,$0.02 ,10550
Johnson,10/10/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Brown,10/10/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Murphy,10/10/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Delaney,10/10/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Winfrey,10/10/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,9999
O'Rourke,10/10/2019 0:00,$0.01 ,$0.02 ,$0.01 ,$0.01 ,4463
Clinton,10/10/2019 0:00,$0.11 ,$0.11 ,$0.08 ,$0.08 ,28084
S. Brown,10/10/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Michael Bloomberg,10/10/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,50
Andrew Yang,10/10/2019 0:00,$0.12 ,$0.12 ,$0.10 ,$0.11 ,11706
Pete Buttigieg,10/10/2019 0:00,$0.08 ,$0.10 ,$0.08 ,$0.10 ,17304
Castro,10/10/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,858
Gabbard,10/10/2019 0:00,$0.04 ,$0.04 ,$0.03 ,$0.04 ,7257
Hickenlooper,10/10/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,858
Inslee,10/10/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,858
Bullock,10/10/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,200
Bennet,10/10/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Williamson,10/10/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Ryan,10/10/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
de Blasio,10/10/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Swalwell,10/10/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Tom Steyer,10/10/2019 0:00,$0.03 ,$0.03 ,$0.02 ,$0.03 ,15720
Bernie Sanders,10/11/2019 0:00,$0.08 ,$0.09 ,$0.07 ,$0.08 ,13512
Cory Booker,10/11/2019 0:00,$0.02 ,$0.03 ,$0.02 ,$0.03 ,21579
Harris,10/11/2019 0:00,$0.05 ,$0.06 ,$0.05 ,$0.05 ,16407
Gillibrand,10/11/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Joe Biden,10/11/2019 0:00,$0.21 ,$0.22 ,$0.20 ,$0.21 ,16096
Elizabeth Warren,10/11/2019 0:00,$0.48 ,$0.48 ,$0.46 ,$0.48 ,14200
Cuomo,10/11/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Zuckerberg,10/11/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Kaine,10/11/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Amy Klobuchar,10/11/2019 0:00,$0.02 ,$0.02 ,$0.01 ,$0.02 ,10895
Johnson,10/11/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Brown,10/11/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Murphy,10/11/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Delaney,10/11/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Winfrey,10/11/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
O'Rourke,10/11/2019 0:00,$0.01 ,$0.02 ,$0.01 ,$0.01 ,15524
Clinton,10/11/2019 0:00,$0.08 ,$0.09 ,$0.07 ,$0.07 ,29726
S. Brown,10/11/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,1000
Michael Bloomberg,10/11/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,9999
Andrew Yang,10/11/2019 0:00,$0.11 ,$0.11 ,$0.10 ,$0.10 ,11153
Pete Buttigieg,10/11/2019 0:00,$0.10 ,$0.10 ,$0.08 ,$0.08 ,20943
Castro,10/11/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,1
Gabbard,10/11/2019 0:00,$0.04 ,$0.04 ,$0.03 ,$0.03 ,5394
Hickenlooper,10/11/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Inslee,10/11/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Bullock,10/11/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,25
Bennet,10/11/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Williamson,10/11/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Ryan,10/11/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
de Blasio,10/11/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Swalwell,10/11/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Tom Steyer,10/11/2019 0:00,$0.03 ,$0.03 ,$0.02 ,$0.02 ,13671
Bernie Sanders,10/12/2019 0:00,$0.08 ,$0.09 ,$0.07 ,$0.07 ,3795
Cory Booker,10/12/2019 0:00,$0.03 ,$0.03 ,$0.01 ,$0.01 ,8585
Harris,10/12/2019 0:00,$0.05 ,$0.06 ,$0.05 ,$0.05 ,3534
Gillibrand,10/12/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Joe Biden,10/12/2019 0:00,$0.21 ,$0.23 ,$0.21 ,$0.21 ,8557
Elizabeth Warren,10/12/2019 0:00,$0.48 ,$0.48 ,$0.46 ,$0.46 ,11918
Cuomo,10/12/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Zuckerberg,10/12/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Kaine,10/12/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Amy Klobuchar,10/12/2019 0:00,$0.02 ,$0.02 ,$0.01 ,$0.01 ,24001
Johnson,10/12/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Brown,10/12/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Murphy,10/12/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Delaney,10/12/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Winfrey,10/12/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
O'Rourke,10/12/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,10488
Clinton,10/12/2019 0:00,$0.07 ,$0.08 ,$0.07 ,$0.07 ,10440
S. Brown,10/12/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Michael Bloomberg,10/12/2019 0:00,$0.01 ,$0.02 ,$0.01 ,$0.01 ,59421
Andrew Yang,10/12/2019 0:00,$0.10 ,$0.11 ,$0.10 ,$0.10 ,6591
Pete Buttigieg,10/12/2019 0:00,$0.08 ,$0.09 ,$0.08 ,$0.08 ,7006
Castro,10/12/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Gabbard,10/12/2019 0:00,$0.03 ,$0.04 ,$0.03 ,$0.03 ,13296
Hickenlooper,10/12/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Inslee,10/12/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Bullock,10/12/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,4
Bennet,10/12/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Williamson,10/12/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Ryan,10/12/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
de Blasio,10/12/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Swalwell,10/12/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Tom Steyer,10/12/2019 0:00,$0.02 ,$0.03 ,$0.02 ,$0.02 ,2944
Bernie Sanders,10/13/2019 0:00,$0.07 ,$0.09 ,$0.07 ,$0.08 ,6078
Cory Booker,10/13/2019 0:00,$0.01 ,$0.03 ,$0.01 ,$0.02 ,3781
Harris,10/13/2019 0:00,$0.05 ,$0.06 ,$0.05 ,$0.05 ,2749
Gillibrand,10/13/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,1
Joe Biden,10/13/2019 0:00,$0.21 ,$0.22 ,$0.21 ,$0.21 ,10367
Elizabeth Warren,10/13/2019 0:00,$0.46 ,$0.47 ,$0.46 ,$0.47 ,5523
Cuomo,10/13/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Zuckerberg,10/13/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Kaine,10/13/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Amy Klobuchar,10/13/2019 0:00,$0.01 ,$0.02 ,$0.01 ,$0.02 ,3061
Johnson,10/13/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Brown,10/13/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Murphy,10/13/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Delaney,10/13/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Winfrey,10/13/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,83
O'Rourke,10/13/2019 0:00,$0.01 ,$0.02 ,$0.01 ,$0.01 ,4506
Clinton,10/13/2019 0:00,$0.07 ,$0.09 ,$0.07 ,$0.08 ,17170
S. Brown,10/13/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Michael Bloomberg,10/13/2019 0:00,$0.01 ,$0.02 ,$0.01 ,$0.01 ,11533
Andrew Yang,10/13/2019 0:00,$0.10 ,$0.11 ,$0.10 ,$0.10 ,9694
Pete Buttigieg,10/13/2019 0:00,$0.08 ,$0.10 ,$0.08 ,$0.08 ,5648
Castro,10/13/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,100
Gabbard,10/13/2019 0:00,$0.03 ,$0.04 ,$0.03 ,$0.03 ,20992
Hickenlooper,10/13/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Inslee,10/13/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Bullock,10/13/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,25
Bennet,10/13/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Williamson,10/13/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,1
Ryan,10/13/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
de Blasio,10/13/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Swalwell,10/13/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Tom Steyer,10/13/2019 0:00,$0.02 ,$0.03 ,$0.02 ,$0.02 ,5845
Bernie Sanders,10/14/2019 0:00,$0.08 ,$0.09 ,$0.07 ,$0.07 ,16264
Cory Booker,10/14/2019 0:00,$0.02 ,$0.03 ,$0.01 ,$0.02 ,4986
Harris,10/14/2019 0:00,$0.05 ,$0.06 ,$0.05 ,$0.05 ,8274
Gillibrand,10/14/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Joe Biden,10/14/2019 0:00,$0.21 ,$0.22 ,$0.21 ,$0.21 ,23404
Elizabeth Warren,10/14/2019 0:00,$0.47 ,$0.47 ,$0.45 ,$0.46 ,9637
Cuomo,10/14/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Zuckerberg,10/14/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Kaine,10/14/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Amy Klobuchar,10/14/2019 0:00,$0.02 ,$0.02 ,$0.01 ,$0.01 ,53420
Johnson,10/14/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Brown,10/14/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Murphy,10/14/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Delaney,10/14/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,5200
Winfrey,10/14/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,100
O'Rourke,10/14/2019 0:00,$0.01 ,$0.02 ,$0.01 ,$0.02 ,22510
Clinton,10/14/2019 0:00,$0.08 ,$0.09 ,$0.08 ,$0.08 ,15297
S. Brown,10/14/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Michael Bloomberg,10/14/2019 0:00,$0.01 ,$0.09 ,$0.01 ,$0.05 ,105413
Andrew Yang,10/14/2019 0:00,$0.10 ,$0.11 ,$0.09 ,$0.10 ,26479
Pete Buttigieg,10/14/2019 0:00,$0.08 ,$0.10 ,$0.08 ,$0.08 ,16269
Castro,10/14/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Gabbard,10/14/2019 0:00,$0.03 ,$0.04 ,$0.03 ,$0.03 ,5797
Hickenlooper,10/14/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,150
Inslee,10/14/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,689
Bullock,10/14/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,159
Bennet,10/14/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,560
Williamson,10/14/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Ryan,10/14/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
de Blasio,10/14/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,220
Swalwell,10/14/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Tom Steyer,10/14/2019 0:00,$0.02 ,$0.03 ,$0.02 ,$0.02 ,7425
Bernie Sanders,10/15/2019 0:00,$0.07 ,$0.13 ,$0.07 ,$0.12 ,80201
Cory Booker,10/15/2019 0:00,$0.02 ,$0.03 ,$0.02 ,$0.03 ,25311
Harris,10/15/2019 0:00,$0.05 ,$0.06 ,$0.04 ,$0.05 ,32977
Gillibrand,10/15/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Joe Biden,10/15/2019 0:00,$0.21 ,$0.22 ,$0.20 ,$0.21 ,48881
Elizabeth Warren,10/15/2019 0:00,$0.46 ,$0.46 ,$0.40 ,$0.43 ,50113
Cuomo,10/15/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,3000
Zuckerberg,10/15/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Kaine,10/15/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Amy Klobuchar,10/15/2019 0:00,$0.01 ,$0.03 ,$0.01 ,$0.03 ,50112
Johnson,10/15/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Brown,10/15/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Murphy,10/15/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Delaney,10/15/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Winfrey,10/15/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,27716
O'Rourke,10/15/2019 0:00,$0.02 ,$0.02 ,$0.01 ,$0.01 ,14287
Clinton,10/15/2019 0:00,$0.08 ,$0.09 ,$0.06 ,$0.07 ,44605
S. Brown,10/15/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Michael Bloomberg,10/15/2019 0:00,$0.05 ,$0.07 ,$0.02 ,$0.03 ,151074
Andrew Yang,10/15/2019 0:00,$0.10 ,$0.11 ,$0.10 ,$0.10 ,39301
Pete Buttigieg,10/15/2019 0:00,$0.08 ,$0.12 ,$0.08 ,$0.11 ,42788
Castro,10/15/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,1128
Gabbard,10/15/2019 0:00,$0.03 ,$0.05 ,$0.02 ,$0.02 ,90551
Hickenlooper,10/15/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Inslee,10/15/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Bullock,10/15/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,25
Bennet,10/15/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,7525
Williamson,10/15/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,2
Ryan,10/15/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
de Blasio,10/15/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Swalwell,10/15/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Tom Steyer,10/15/2019 0:00,$0.02 ,$0.03 ,$0.01 ,$0.01 ,122274
Bernie Sanders,10/16/2019 0:00,$0.12 ,$0.13 ,$0.11 ,$0.13 ,33935
Cory Booker,10/16/2019 0:00,$0.03 ,$0.03 ,$0.01 ,$0.01 ,7918
Harris,10/16/2019 0:00,$0.05 ,$0.05 ,$0.04 ,$0.04 ,17899
Gillibrand,10/16/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Joe Biden,10/16/2019 0:00,$0.21 ,$0.22 ,$0.18 ,$0.19 ,39127
Elizabeth Warren,10/16/2019 0:00,$0.43 ,$0.46 ,$0.43 ,$0.45 ,13661
Cuomo,10/16/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Zuckerberg,10/16/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Kaine,10/16/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Amy Klobuchar,10/16/2019 0:00,$0.03 ,$0.03 ,$0.01 ,$0.03 ,57756
Johnson,10/16/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Brown,10/16/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Murphy,10/16/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Delaney,10/16/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Winfrey,10/16/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,185
O'Rourke,10/16/2019 0:00,$0.01 ,$0.02 ,$0.01 ,$0.01 ,93045
Clinton,10/16/2019 0:00,$0.07 ,$0.08 ,$0.06 ,$0.08 ,19492
S. Brown,10/16/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Michael Bloomberg,10/16/2019 0:00,$0.03 ,$0.05 ,$0.02 ,$0.02 ,72369
Andrew Yang,10/16/2019 0:00,$0.10 ,$0.11 ,$0.10 ,$0.10 ,32071
Pete Buttigieg,10/16/2019 0:00,$0.11 ,$0.13 ,$0.10 ,$0.12 ,36141
Castro,10/16/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Gabbard,10/16/2019 0:00,$0.02 ,$0.02 ,$0.01 ,$0.01 ,83752
Hickenlooper,10/16/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Inslee,10/16/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Bullock,10/16/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,777
Bennet,10/16/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Williamson,10/16/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Ryan,10/16/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
de Blasio,10/16/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Swalwell,10/16/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Tom Steyer,10/16/2019 0:00,$0.01 ,$0.02 ,$0.01 ,$0.01 ,34902
Bernie Sanders,10/17/2019 0:00,$0.13 ,$0.13 ,$0.12 ,$0.12 ,13334
Cory Booker,10/17/2019 0:00,$0.01 ,$0.02 ,$0.01 ,$0.02 ,6618
Harris,10/17/2019 0:00,$0.04 ,$0.05 ,$0.03 ,$0.03 ,46659
Gillibrand,10/17/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,70
Joe Biden,10/17/2019 0:00,$0.19 ,$0.20 ,$0.18 ,$0.20 ,14925
Elizabeth Warren,10/17/2019 0:00,$0.45 ,$0.46 ,$0.44 ,$0.46 ,12221
Cuomo,10/17/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Zuckerberg,10/17/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Kaine,10/17/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Amy Klobuchar,10/17/2019 0:00,$0.03 ,$0.03 ,$0.02 ,$0.02 ,32346
Johnson,10/17/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Brown,10/17/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Murphy,10/17/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Delaney,10/17/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Winfrey,10/17/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,1107
O'Rourke,10/17/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,19806
Clinton,10/17/2019 0:00,$0.08 ,$0.08 ,$0.05 ,$0.07 ,51304
S. Brown,10/17/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Michael Bloomberg,10/17/2019 0:00,$0.02 ,$0.04 ,$0.02 ,$0.03 ,26320
Andrew Yang,10/17/2019 0:00,$0.10 ,$0.11 ,$0.09 ,$0.10 ,10698
Pete Buttigieg,10/17/2019 0:00,$0.12 ,$0.14 ,$0.11 ,$0.14 ,33675
Castro,10/17/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,5
Gabbard,10/17/2019 0:00,$0.01 ,$0.02 ,$0.01 ,$0.02 ,36455
Hickenlooper,10/17/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Inslee,10/17/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Bullock,10/17/2019 0:00,$0.01 ,$0.02 ,$0.01 ,$0.01 ,100234
Bennet,10/17/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,50
Williamson,10/17/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,1301
Ryan,10/17/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
de Blasio,10/17/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Swalwell,10/17/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Tom Steyer,10/17/2019 0:00,$0.01 ,$0.02 ,$0.01 ,$0.01 ,16440
Bernie Sanders,10/18/2019 0:00,$0.12 ,$0.13 ,$0.11 ,$0.13 ,11238
Cory Booker,10/18/2019 0:00,$0.02 ,$0.03 ,$0.01 ,$0.02 ,21395
Harris,10/18/2019 0:00,$0.03 ,$0.05 ,$0.03 ,$0.05 ,36085
Gillibrand,10/18/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,25
Joe Biden,10/18/2019 0:00,$0.20 ,$0.20 ,$0.19 ,$0.19 ,8523
Elizabeth Warren,10/18/2019 0:00,$0.46 ,$0.46 ,$0.44 ,$0.44 ,12525
Cuomo,10/18/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,25
Zuckerberg,10/18/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,25
Kaine,10/18/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,35
Amy Klobuchar,10/18/2019 0:00,$0.02 ,$0.03 ,$0.02 ,$0.03 ,19764
Johnson,10/18/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Brown,10/18/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Murphy,10/18/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Delaney,10/18/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Winfrey,10/18/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,700
O'Rourke,10/18/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,904
Clinton,10/18/2019 0:00,$0.07 ,$0.07 ,$0.05 ,$0.06 ,26641
S. Brown,10/18/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Michael Bloomberg,10/18/2019 0:00,$0.03 ,$0.04 ,$0.03 ,$0.04 ,19255
Andrew Yang,10/18/2019 0:00,$0.10 ,$0.10 ,$0.09 ,$0.10 ,12046
Pete Buttigieg,10/18/2019 0:00,$0.14 ,$0.14 ,$0.12 ,$0.14 ,14347
Castro,10/18/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,886
Gabbard,10/18/2019 0:00,$0.02 ,$0.04 ,$0.01 ,$0.04 ,119902
Hickenlooper,10/18/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,858
Inslee,10/18/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,700
Bullock,10/18/2019 0:00,$0.01 ,$0.02 ,$0.01 ,$0.01 ,40083
Bennet,10/18/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Williamson,10/18/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Ryan,10/18/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
de Blasio,10/18/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Swalwell,10/18/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Tom Steyer,10/18/2019 0:00,$0.01 ,$0.02 ,$0.01 ,$0.01 ,5126
Bernie Sanders,10/19/2019 0:00,$0.13 ,$0.14 ,$0.12 ,$0.13 ,21840
Cory Booker,10/19/2019 0:00,$0.02 ,$0.03 ,$0.01 ,$0.02 ,20635
Harris,10/19/2019 0:00,$0.05 ,$0.05 ,$0.04 ,$0.04 ,11806
Gillibrand,10/19/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
