ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
Bullock,10/2/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,100
Bennet,10/2/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Williamson,10/2/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Ryan,10/2/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
de Blasio,10/2/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Swalwell,10/2/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Tom Steyer,10/2/2019 0:00,$0.02 ,$0.02 ,$0.01 ,$0.01 ,11397
Bernie Sanders,10/3/2019 0:00,$0.07 ,$0.10 ,$0.07 ,$0.09 ,34640
Cory Booker,10/3/2019 0:00,$0.01 ,$0.02 ,$0.01 ,$0.01 ,9392
Harris,10/3/2019 0:00,$0.05 ,$0.06 ,$0.04 ,$0.04 ,21673
Gillibrand,10/3/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Joe Biden,10/3/2019 0:00,$0.22 ,$0.24 ,$0.21 ,$0.23 ,28869
Elizabeth Warren,10/3/2019 0:00,$0.51 ,$0.53 ,$0.50 ,$0.51 ,26406
Cuomo,10/3/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,44
Zuckerberg,10/3/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Kaine,10/3/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Amy Klobuchar,10/3/2019 0:00,$0.01 ,$0.02 ,$0.01 ,$0.01 ,12983
Johnson,10/3/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Brown,10/3/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Murphy,10/3/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Delaney,10/3/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Winfrey,10/3/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
O'Rourke,10/3/2019 0:00,$0.01 ,$0.02 ,$0.01 ,$0.01 ,6388
Clinton,10/3/2019 0:00,$0.05 ,$0.09 ,$0.05 ,$0.06 ,62898
S. Brown,10/3/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Michael Bloomberg,10/3/2019 0:00,$0.01 ,$0.02 ,$0.01 ,$0.01 ,26508
Andrew Yang,10/3/2019 0:00,$0.10 ,$0.12 ,$0.10 ,$0.10 ,25584
Pete Buttigieg,10/3/2019 0:00,$0.07 ,$0.09 ,$0.07 ,$0.09 ,20350
Castro,10/3/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,100
Gabbard,10/3/2019 0:00,$0.03 ,$0.04 ,$0.03 ,$0.03 ,10256
Hickenlooper,10/3/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Inslee,10/3/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Bullock,10/3/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,25
Bennet,10/3/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,92
Williamson,10/3/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,100
Ryan,10/3/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
de Blasio,10/3/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Swalwell,10/3/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Tom Steyer,10/3/2019 0:00,$0.01 ,$0.03 ,$0.01 ,$0.01 ,46841
Bernie Sanders,10/4/2019 0:00,$0.09 ,$0.09 ,$0.07 ,$0.07 ,27304
Cory Booker,10/4/2019 0:00,$0.01 ,$0.02 ,$0.01 ,$0.02 ,21852
Harris,10/4/2019 0:00,$0.04 ,$0.06 ,$0.04 ,$0.04 ,21937
Gillibrand,10/4/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,1050
Joe Biden,10/4/2019 0:00,$0.23 ,$0.23 ,$0.21 ,$0.21 ,18990
Elizabeth Warren,10/4/2019 0:00,$0.51 ,$0.52 ,$0.50 ,$0.52 ,24662
Cuomo,10/4/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Zuckerberg,10/4/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Kaine,10/4/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Amy Klobuchar,10/4/2019 0:00,$0.01 ,$0.02 ,$0.01 ,$0.02 ,4760
Johnson,10/4/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Brown,10/4/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Murphy,10/4/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Delaney,10/4/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,200
Winfrey,10/4/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
O'Rourke,10/4/2019 0:00,$0.01 ,$0.02 ,$0.01 ,$0.01 ,7956
Clinton,10/4/2019 0:00,$0.06 ,$0.07 ,$0.05 ,$0.07 ,27684
S. Brown,10/4/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Michael Bloomberg,10/4/2019 0:00,$0.01 ,$0.02 ,$0.01 ,$0.01 ,8073
Andrew Yang,10/4/2019 0:00,$0.10 ,$0.12 ,$0.10 ,$0.11 ,28586
Pete Buttigieg,10/4/2019 0:00,$0.09 ,$0.09 ,$0.07 ,$0.08 ,10803
Castro,10/4/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,1584
Gabbard,10/4/2019 0:00,$0.03 ,$0.04 ,$0.02 ,$0.03 ,15810
Hickenlooper,10/4/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Inslee,10/4/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Bullock,10/4/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,25
Bennet,10/4/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Williamson,10/4/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,858
Ryan,10/4/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,5
de Blasio,10/4/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Swalwell,10/4/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
