,Intercept,Date,Trends,Joe Biden,Elizabeth Warren,Bernie Sanders,Pete Buttigieg,Amy Klobuchar,Andrew Yang,Cory Booker,Tom Steyer,Michael Bloomberg,Price,y,predicted
34,1,0.3125,0.004480651731160898,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.12000000000000001,-0.28571428571428553,-0.026951501186790974
35,1,0.7625000000000001,0.12635487755921315,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.36,0.0,0.03861396565961027
36,1,0.525,0.010466906105695232,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,-0.0454545454545455,0.012707807466238591
37,1,0.125,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.02,0.5,0.019692073001714584
38,1,0.475,0.0009005403241945168,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.039999999999999994,0.3333333333333333,0.012278276708453172
39,1,0.07500000000000001,0.025415249149489696,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-0.004564495124675744
40,1,0.05,0.019255973384413757,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,-0.12499999999999993,-0.00503397540823592
41,1,0.95,0.03165511003919204,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.07117690217445577
42,1,0.42500000000000004,0.0023113254949251325,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,-0.07798501994085935
43,1,0.41250000000000003,0.05418163160595177,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,-0.09999999999999996,-0.0004243809442521368
44,1,0.275,0.07080554130323244,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,-0.0454545454545455,0.009046399550423911
45,1,0.6375000000000001,0.061240934730056415,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33999999999999997,-0.38888888888888895,-0.13128424098109182
46,1,0.1625,0.002201761409127302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0,-0.0937433530762863
47,1,0.375,0.14564867042707494,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,-0.05882352941176459,-0.044118985562157154
48,1,1.0,0.00500300180108065,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.09999999999999999,-0.16666666666666682,0.03631547217267197
49,1,0.9625000000000001,0.08044826896137684,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.09999999999999999,0.3333333333333333,0.03539150297518927
50,1,0.9375,0.7237557721908671,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.16666666666666666,0.09389857137202134
51,1,0.775,0.00100060036021613,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.039999999999999994,0.0,0.01626270980758889
