,Intercept,Date,Trends,Joe Biden,Elizabeth Warren,Bernie Sanders,Pete Buttigieg,Amy Klobuchar,Andrew Yang,Cory Booker,Tom Steyer,Michael Bloomberg,Price,y,predicted
34,1,0.7625000000000001,0.06200381871168726,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.09489732752983726
35,1,0.012500000000000011,0.02268373828006856,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.12499999999999993,0.031662136656966086
36,1,0.9625000000000001,0.03505237711522965,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0,-0.12471677219705038
37,1,0.65,0.10676479483818932,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.05882352941176475,0.0566135395999228
38,1,0.6875,0.04275391409072662,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.36,0.05263157894736847,0.04421255320228454
39,1,0.4,0.040225829216654914,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24000000000000002,-0.07692307692307697,0.04714465194154919
40,1,0.1875,0.012907744646788072,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.02,-0.4999999999999999,0.05099387283614283
41,1,0.5,0.05560032232070911,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5599999999999999,-0.06896551724137938,-0.08368375885896542
42,1,0.8875000000000001,0.014169430208019291,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.09193507464764167
43,1,0.5875,0.06442181671539468,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.12499999999999993,0.05554739548848448
44,1,0.8250000000000001,0.008206565252201762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.02,0.5,-0.10371995171840184
45,1,0.2,0.02582655009546779,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.02,0.0,-0.09256424455849496
46,1,0.3375,0.039917906618778864,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39999999999999997,-0.04761904761904767,0.024463728318976974
47,1,0.7375,0.0695556445156125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.11014216296049481
48,1,0.012500000000000011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.03208003519897505
49,1,0.95,0.022217774219375503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.10682606950481571
50,1,0.4,0.000703446889759823,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.09336496863459817
51,1,0.925,0.08129836197367098,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.0951700126491526
